session_id,student_id,mentor_id,subject,style_match,schedule_overlap,duration_minutes,rating
SES83,S2086,M185,Web Development,0,1,31,1
SES84,S3021,M146,Web Development,0,1,44,2
SES85,S2513,M67,Machine Learning,0,2,37,2
SES86,S493,M58,Operating Systems,0,1,26,1
SES87,S3870,M188,Calculus,0,3,38,2
SES88,S1847,M123,Data Structures,0,4,39,2
SES89,S3562,M111,Calculus,0,3,57,4
SES90,S1988,M106,Statistics,0,1,36,2
SES91,S254,M166,Python,0,3,45,2
SES92,S2868,M91,Calculus,0,2,53,4
SES93,S3224,M149,Web Development,0,1,44,2
SES94,S4006,M39,Statistics,0,2,35,1
SES95,S226,M189,Web Development,0,1,34,2
SES96,S3326,M130,Calculus,1,2,70,5
SES97,S3970,M1,Machine Learning,1,2,70,5
SES98,S781,M81,Statistics,1,0,61,4
SES99,S2933,M188,Python,0,6,32,2
SES100,S3292,M140,Statistics,0,1,38,1
SES101,S1283,M196,Data Structures,0,1,40,3
SES102,S2468,M24,Machine Learning,0,2,23,1
SES103,S2174,M133,Statistics,0,1,23,1
SES104,S2417,M180,Computer Networks,0,3,36,1
SES105,S2860,M165,Computer Networks,0,2,31,2
SES106,S1149,M32,Computer Networks,0,2,31,2
SES107,S765,M85,Statistics,1,1,44,3
SES108,S278,M38,Web Development,0,3,45,3
SES109,S3687,M140,Statistics,1,1,61,4
SES110,S2685,M101,Operating Systems,0,2,39,2
SES111,S3636,M187,Machine Learning,0,1,31,1
SES112,S513,M122,Machine Learning,0,2,44,2
SES113,S3154,M99,Computer Networks,0,1,37,2
SES114,S2179,M147,Java,1,4,69,5
SES115,S759,M73,Computer Networks,0,0,41,2
SES116,S2934,M194,Computer Networks,1,0,53,4
SES117,S1568,M25,Python,1,1,65,5
SES118,S3764,M18,Data Structures,0,0,36,1
SES119,S2420,M67,Calculus,0,2,34,1
SES120,S2640,M128,Machine Learning,0,3,41,2
SES121,S2060,M111,Calculus,1,4,69,5
SES122,S870,M37,Operating Systems,0,4,47,3
SES123,S1698,M89,Operating Systems,0,3,43,2
SES124,S4928,M64,Data Structures,0,1,24,1
SES125,S4234,M80,Statistics,0,1,31,2
SES126,S4322,M111,Calculus,1,2,70,5
SES127,S4138,M84,Operating Systems,1,3,51,4
SES128,S4514,M23,Data Structures,1,2,51,4
SES129,S137,M177,Database Systems,0,3,26,1
SES130,S3455,M148,Web Development,0,1,27,1
SES131,S1603,M19,Web Development,0,2,46,2
SES132,S69,M141,Data Structures,0,1,46,2
SES133,S1963,M73,Machine Learning,0,0,45,2
SES134,S3121,M193,Computer Networks,0,0,44,2
SES135,S2336,M15,Python,0,1,31,2
SES136,S4097,M138,Computer Networks,0,1,45,2
SES137,S2922,M183,Python,0,1,53,3
SES138,S3561,M148,Computer Networks,0,2,27,1
SES139,S2416,M66,Database Systems,0,0,26,1
SES140,S3067,M151,Operating Systems,0,3,39,3
SES141,S4032,M171,Statistics,0,2,25,1
SES142,S4291,M114,Database Systems,0,3,41,2
SES143,S4928,M5,Data Structures,0,1,53,4
SES144,S1732,M135,Machine Learning,1,2,68,5
SES145,S4825,M125,Java,0,1,44,2
SES146,S4471,M171,Database Systems,0,2,41,3
SES147,S1661,M166,Database Systems,0,2,31,2
SES148,S3643,M135,Computer Networks,0,0,49,4
SES149,S4214,M200,Computer Networks,0,1,42,2
SES150,S3370,M61,Statistics,0,2,40,3
SES151,S433,M160,Python,0,4,37,2
SES152,S425,M84,Computer Networks,0,3,62,4
SES153,S318,M101,Operating Systems,0,3,39,2
SES154,S2995,M95,Calculus,1,0,45,3
SES155,S1513,M41,Machine Learning,0,2,53,4
SES156,S703,M73,Computer Networks,0,1,32,2
SES157,S897,M82,Computer Networks,0,2,57,4
SES158,S2348,M193,Computer Networks,0,1,32,2
SES159,S3489,M183,Python,0,2,52,3
SES160,S1509,M77,Database Systems,0,2,54,4
SES161,S822,M12,Calculus,0,0,29,1
SES162,S2554,M117,Java,0,0,36,1
SES163,S2679,M61,Statistics,0,1,29,1
SES164,S390,M104,Python,0,0,33,1
SES165,S1710,M28,Calculus,0,1,42,3
SES166,S2533,M148,Python,0,2,35,1
SES167,S1510,M170,Database Systems,0,3,35,2
SES168,S1385,M193,Computer Networks,0,2,39,2
SES169,S4499,M79,Java,0,4,46,3
SES170,S3462,M150,Operating Systems,0,3,62,4
SES171,S4306,M135,Web Development,0,2,26,1
SES172,S690,M176,Database Systems,0,2,34,2
SES173,S4969,M196,Data Structures,0,0,52,3
SES174,S2488,M178,Statistics,0,1,39,2
SES175,S3636,M11,Machine Learning,0,2,41,2
SES176,S2712,M104,Database Systems,0,0,26,1
SES177,S1667,M198,Calculus,0,1,36,2
SES178,S3280,M183,Python,1,2,58,5
SES179,S3120,M61,Python,0,2,44,2
SES180,S2121,M16,Data Structures,0,2,58,4
SES181,S18,M100,Statistics,0,1,32,1
SES182,S1604,M130,Statistics,0,2,41,3
SES183,S2991,M80,Statistics,1,0,69,5
SES184,S1278,M122,Web Development,0,2,36,1
SES185,S2009,M14,Statistics,0,2,33,2
SES186,S3132,M87,Web Development,0,1,33,2
SES187,S1944,M66,Machine Learning,0,2,45,2
SES188,S221,M186,Data Structures,0,4,48,3
SES189,S94,M86,Machine Learning,0,0,51,4
SES190,S4282,M190,Python,0,2,54,4
SES191,S282,M198,Calculus,1,0,54,4
SES192,S3389,M132,Python,1,3,54,4
SES193,S4438,M48,Python,0,0,28,1
SES194,S1028,M163,Web Development,0,1,37,1
SES195,S1532,M23,Web Development,0,1,47,4
SES196,S1545,M27,Database Systems,0,0,25,1
SES197,S2876,M174,Java,1,1,46,3
SES198,S332,M12,Database Systems,0,2,44,2
SES199,S2130,M143,Statistics,0,0,32,1
SES200,S4152,M128,Machine Learning,1,1,35,2
SES201,S2891,M37,Operating Systems,0,4,38,1
SES202,S2485,M19,Computer Networks,0,0,32,1
SES203,S1558,M14,Web Development,0,0,41,2
SES204,S2609,M19,Python,0,0,42,3
SES205,S2561,M119,Machine Learning,1,0,50,3
SES206,S1786,M98,Data Structures,1,3,36,1
SES207,S4764,M94,Java,0,2,45,2
SES208,S4381,M110,Machine Learning,0,0,24,1
SES209,S3485,M15,Operating Systems,1,1,41,3
SES210,S561,M182,Database Systems,0,0,70,5
SES211,S2233,M13,Database Systems,1,1,56,4
SES212,S1800,M160,Data Structures,1,2,40,2
SES213,S429,M78,Python,1,3,43,2
SES214,S3024,M19,Web Development,1,2,44,3
SES215,S4485,M78,Python,1,2,40,2
SES216,S3658,M8,Operating Systems,0,3,50,3
SES217,S3885,M192,Python,0,2,55,4
SES218,S4344,M110,Machine Learning,0,1,34,2
SES219,S990,M120,Operating Systems,0,2,33,2
SES220,S2322,M61,Python,1,3,40,3
SES221,S2649,M94,Java,0,2,44,3
SES222,S2056,M185,Web Development,1,3,43,3
SES223,S275,M91,Calculus,1,1,69,5
SES224,S2961,M23,Data Structures,0,1,46,2
SES225,S461,M74,Python,0,3,54,4
SES226,S3328,M7,Java,0,3,54,3
SES227,S925,M122,Machine Learning,0,2,32,1
SES228,S382,M70,Statistics,0,0,32,1
SES229,S600,M193,Computer Networks,0,1,34,2
SES230,S1860,M53,Operating Systems,0,1,23,1
SES231,S1199,M66,Database Systems,0,1,24,1
SES232,S4987,M67,Calculus,0,2,44,2
SES233,S2443,M97,Web Development,0,2,47,3
SES234,S2595,M42,Computer Networks,0,2,38,2
SES235,S1452,M113,Python,1,2,46,3
SES236,S2528,M118,Operating Systems,0,3,47,4
SES237,S528,M83,Machine Learning,0,1,32,2
SES238,S2198,M35,Machine Learning,0,1,43,3
SES239,S3564,M27,Java,1,1,40,3
SES240,S4329,M79,Machine Learning,0,2,48,3
SES241,S1320,M71,Machine Learning,0,0,57,4
SES242,S345,M153,Web Development,0,0,42,3
SES243,S1723,M199,Computer Networks,0,1,32,1
SES244,S125,M90,Database Systems,0,1,55,5
SES245,S4423,M11,Machine Learning,0,4,48,3
SES246,S2503,M79,Java,0,2,30,1
SES247,S2850,M1,Data Structures,1,1,57,5
SES248,S1784,M90,Statistics,0,1,62,4
SES249,S929,M39,Statistics,0,1,34,1
SES250,S3477,M123,Statistics,0,1,29,1
SES251,S2363,M82,Web Development,0,0,38,2
SES252,S4400,M49,Java,0,1,34,2
SES253,S941,M5,Data Structures,0,1,26,1
SES254,S1941,M73,Machine Learning,0,3,38,1
SES255,S4987,M173,Computer Networks,0,1,32,2
SES256,S1294,M135,Computer Networks,0,2,31,1
SES257,S4724,M176,Database Systems,0,1,31,1
SES258,S916,M54,Calculus,0,5,44,3
SES259,S2787,M172,Web Development,0,1,37,2
SES260,S2848,M138,Java,0,1,59,4
SES261,S1877,M12,Machine Learning,0,1,31,1
SES262,S3767,M54,Calculus,0,1,48,3
SES263,S343,M194,Web Development,0,1,36,1
SES264,S4545,M193,Computer Networks,0,1,46,2
SES265,S648,M198,Calculus,0,1,46,3
SES266,S3027,M79,Machine Learning,0,0,32,1
SES267,S3934,M161,Web Development,0,0,29,1
SES268,S1914,M104,Java,1,2,51,4
SES269,S942,M139,Python,0,2,42,3
SES270,S77,M110,Machine Learning,0,0,34,1
SES271,S3132,M88,Web Development,0,4,33,2
SES272,S3204,M34,Operating Systems,0,0,46,3
SES273,S436,M74,Database Systems,1,2,49,4
SES274,S3515,M18,Data Structures,0,2,33,2
SES275,S1004,M153,Python,0,3,27,1
SES276,S3627,M30,Data Structures,0,3,42,3
SES277,S4496,M194,Computer Networks,1,2,50,3
SES278,S2889,M59,Java,1,2,42,2
SES279,S185,M71,Python,0,3,38,2
SES280,S4318,M158,Calculus,1,0,39,3
SES281,S4508,M189,Calculus,1,2,48,4
SES282,S968,M194,Computer Networks,0,0,36,2
SES283,S2883,M47,Data Structures,1,1,34,1
SES284,S3016,M158,Calculus,0,1,39,2
SES285,S1520,M129,Java,0,3,32,1
SES286,S3652,M94,Java,0,1,47,3
SES287,S996,M115,Python,0,1,61,4
SES288,S2585,M126,Java,0,2,54,3
SES289,S594,M158,Operating Systems,0,4,30,1
SES290,S2860,M97,Computer Networks,0,0,55,4
SES291,S4374,M15,Operating Systems,0,2,42,2
SES292,S655,M47,Computer Networks,0,2,45,2
SES293,S3624,M88,Python,0,1,30,1
SES294,S4476,M70,Statistics,0,1,25,1
SES295,S4918,M15,Python,1,1,57,4
SES296,S1854,M147,Java,0,1,42,3
SES297,S181,M167,Calculus,1,0,50,3
SES298,S2086,M189,Web Development,0,2,43,2
SES299,S822,M196,Calculus,0,1,48,4
SES300,S644,M166,Data Structures,0,2,46,2
SES301,S1890,M97,Computer Networks,0,1,42,2
SES302,S2932,M9,Computer Networks,1,0,62,5
SES303,S106,M60,Java,0,1,42,2
SES304,S4548,M83,Machine Learning,0,0,28,1
SES305,S4146,M5,Calculus,0,1,33,1
SES306,S2754,M151,Operating Systems,1,1,56,4
SES307,S3707,M60,Java,0,1,30,1
SES308,S4355,M126,Python,0,5,49,4
SES309,S2833,M132,Calculus,0,1,27,1
SES310,S4455,M73,Python,0,0,35,2
SES311,S3413,M28,Calculus,1,1,69,5
SES312,S920,M25,Database Systems,0,1,28,1
SES313,S1969,M155,Machine Learning,0,4,32,2
SES314,S4257,M86,Machine Learning,1,0,51,3
SES315,S3458,M31,Operating Systems,0,4,46,2
SES316,S955,M20,Data Structures,0,1,44,2
SES317,S692,M59,Java,0,0,54,4
SES318,S1443,M98,Data Structures,0,0,33,1
SES319,S1544,M99,Computer Networks,0,0,36,2
SES320,S3534,M91,Statistics,0,4,49,4
SES321,S4421,M12,Calculus,1,2,40,2
SES322,S4695,M103,Machine Learning,0,0,53,4
SES323,S703,M172,Computer Networks,1,0,59,5
SES324,S142,M67,Data Structures,1,2,66,5
SES325,S4654,M58,Statistics,0,2,56,4
SES326,S338,M114,Machine Learning,0,3,29,1
SES327,S4726,M66,Machine Learning,0,1,54,4
SES328,S537,M74,Computer Networks,0,2,31,2
SES329,S4762,M1,Database Systems,1,2,45,3
SES330,S2846,M125,Java,0,1,38,2
SES331,S1138,M20,Java,0,0,25,1
SES332,S650,M183,Statistics,0,0,43,2
SES333,S2672,M160,Data Structures,0,2,26,1
SES334,S623,M5,Machine Learning,1,0,49,3
SES335,S218,M16,Data Structures,1,1,39,2
SES336,S4742,M63,Calculus,0,3,33,1
SES337,S3516,M80,Statistics,0,0,44,2
SES338,S322,M25,Database Systems,0,0,38,1
SES339,S72,M155,Java,1,2,32,2
SES340,S910,M187,Machine Learning,1,4,39,3
SES341,S219,M68,Statistics,0,2,44,3
SES342,S4629,M157,Computer Networks,0,1,44,2
SES343,S3139,M99,Data Structures,1,0,56,4
SES344,S3788,M149,Computer Networks,0,0,53,4
SES345,S2946,M126,Python,0,4,47,3
SES346,S703,M36,Computer Networks,0,0,38,2
SES347,S1045,M128,Web Development,0,1,58,4
SES348,S1245,M73,Python,0,2,30,1
SES349,S1737,M158,Database Systems,0,1,23,1
SES350,S3705,M47,Python,0,0,31,1
SES351,S4496,M173,Computer Networks,1,2,35,2
SES352,S4745,M57,Computer Networks,0,2,52,3
SES353,S2227,M186,Data Structures,0,5,31,2
SES354,S2763,M117,Java,0,0,38,1
SES355,S4249,M122,Web Development,0,2,37,2
SES356,S4575,M45,Database Systems,0,1,25,1
SES357,S2279,M81,Statistics,0,2,42,3
SES358,S1377,M12,Machine Learning,0,1,26,1
SES359,S2227,M11,Machine Learning,0,4,44,2
SES360,S3798,M16,Calculus,0,3,46,2
SES361,S4815,M11,Machine Learning,0,4,48,3
SES362,S2399,M49,Java,0,1,24,1
SES363,S4698,M92,Database Systems,0,3,43,2
SES364,S4337,M51,Python,0,4,30,1
SES365,S4549,M132,Python,0,2,40,2
SES366,S3633,M9,Statistics,0,1,29,1
SES367,S1896,M1,Data Structures,0,0,31,1
SES368,S2533,M126,Python,0,2,35,2
SES369,S1356,M25,Python,0,0,38,2
SES370,S3012,M66,Calculus,0,2,62,4
SES371,S1987,M166,Data Structures,1,2,52,4
SES372,S3818,M25,Operating Systems,1,2,55,5
SES373,S1940,M20,Java,0,1,45,3
SES374,S865,M176,Java,0,0,35,2
SES375,S4107,M183,Python,1,1,63,5
SES376,S4339,M184,Data Structures,0,2,39,2
SES377,S4236,M96,Database Systems,0,2,40,2
SES378,S3538,M38,Web Development,0,3,45,3
SES379,S2543,M20,Machine Learning,0,1,59,4
SES380,S117,M99,Data Structures,1,2,36,1
SES381,S230,M169,Data Structures,1,1,51,3
SES382,S4684,M11,Machine Learning,0,4,39,3
SES383,S934,M46,Computer Networks,0,1,33,1
SES384,S3673,M100,Statistics,0,0,42,2
SES385,S4022,M183,Java,0,1,37,2
SES386,S581,M194,Java,0,2,26,1
SES387,S3922,M126,Python,0,1,29,1
SES388,S2992,M185,Web Development,0,2,39,3
SES389,S4623,M63,Calculus,0,2,35,2
SES390,S4679,M70,Statistics,1,0,45,3
SES391,S1482,M30,Machine Learning,0,4,33,1
SES392,S3338,M199,Computer Networks,0,1,35,2
SES393,S659,M137,Python,0,3,35,2
SES394,S2701,M187,Machine Learning,0,2,56,4
SES395,S2681,M3,Computer Networks,1,0,55,5
SES396,S1061,M189,Calculus,0,1,47,3
SES397,S1148,M131,Web Development,0,2,53,4
SES398,S322,M128,Web Development,0,1,42,2
SES399,S4003,M57,Python,0,0,45,2
SES400,S2250,M145,Operating Systems,1,2,44,2
SES401,S4480,M58,Computer Networks,0,2,35,2
SES402,S4427,M22,Calculus,1,2,50,4
SES403,S3648,M66,Calculus,0,3,34,2
SES404,S4542,M20,Machine Learning,1,1,56,4
SES405,S3251,M39,Operating Systems,0,2,61,5
SES406,S4774,M143,Statistics,0,1,46,3
SES407,S3874,M37,Calculus,0,2,39,2
SES408,S1612,M138,Java,0,0,36,1
SES409,S2535,M36,Computer Networks,0,3,35,1
SES410,S1605,M199,Web Development,0,2,40,2
SES411,S958,M13,Database Systems,0,1,53,3
SES412,S3057,M87,Calculus,1,1,52,3
SES413,S1563,M198,Operating Systems,0,0,35,1
SES414,S3091,M104,Database Systems,0,3,45,2
SES415,S3032,M135,Computer Networks,0,3,36,2
SES416,S3440,M29,Data Structures,0,1,50,3
SES417,S2255,M184,Data Structures,0,2,56,5
SES418,S2495,M44,Python,0,1,28,1
SES419,S2026,M111,Calculus,0,1,56,4
SES420,S1437,M94,Operating Systems,1,3,47,3
SES421,S2417,M188,Python,0,4,33,1
SES422,S2207,M44,Statistics,0,1,43,2
SES423,S1739,M33,Computer Networks,0,1,28,1
SES424,S4659,M29,Data Structures,0,2,40,3
SES425,S4877,M133,Statistics,0,1,30,1
SES426,S3639,M147,Java,1,1,60,5
SES427,S3567,M127,Operating Systems,0,1,47,3
SES428,S52,M154,Calculus,0,1,32,2
SES429,S2104,M19,Python,0,1,33,1
SES430,S3419,M61,Python,0,3,41,3
SES431,S2906,M116,Web Development,1,1,54,3
SES432,S3480,M30,Java,1,5,59,4
SES433,S4933,M159,Web Development,1,3,32,2
SES434,S3640,M14,Python,0,1,51,4
SES435,S741,M68,Statistics,1,0,45,3
SES436,S3320,M29,Database Systems,1,1,54,3
SES437,S725,M152,Database Systems,0,0,31,2
SES438,S4065,M138,Java,1,2,43,3
SES439,S1580,M59,Database Systems,0,1,36,2
SES440,S1687,M45,Database Systems,0,1,32,1
SES441,S339,M151,Operating Systems,0,2,42,2
SES442,S1810,M110,Operating Systems,0,1,31,2
SES443,S4746,M53,Operating Systems,0,2,42,3
SES444,S3603,M104,Database Systems,0,0,43,2
SES445,S1481,M73,Machine Learning,1,1,56,4
SES446,S1242,M37,Computer Networks,0,0,48,4
SES447,S451,M97,Python,0,3,43,2
SES448,S3661,M79,Web Development,0,2,52,3
SES449,S4770,M160,Python,0,2,32,2
SES450,S2479,M51,Python,0,3,49,3
SES451,S1857,M24,Machine Learning,0,1,35,1
SES452,S4026,M110,Database Systems,0,2,39,2
SES453,S1426,M190,Python,1,2,55,4
SES454,S2215,M172,Web Development,0,0,41,3
SES455,S624,M150,Operating Systems,1,3,45,2
SES456,S660,M23,Data Structures,0,1,38,1
SES457,S3173,M138,Computer Networks,1,2,49,3
SES458,S3849,M147,Java,0,1,42,2
SES459,S2558,M154,Machine Learning,0,1,33,1
SES460,S3909,M98,Operating Systems,0,3,54,3
SES461,S1140,M79,Machine Learning,0,2,26,1
SES462,S2196,M40,Operating Systems,0,0,29,1
SES463,S1612,M117,Java,0,0,45,3
SES464,S1655,M109,Operating Systems,1,0,52,3
SES465,S4741,M24,Calculus,0,3,45,3
SES466,S1074,M60,Statistics,0,1,44,2
SES467,S4453,M98,Data Structures,1,2,62,4
SES468,S2292,M108,Operating Systems,0,1,37,1
SES469,S1986,M94,Operating Systems,0,1,44,2
SES470,S2651,M151,Operating Systems,0,1,30,1
SES471,S2514,M100,Data Structures,0,1,45,2
SES472,S2888,M94,Computer Networks,1,0,39,3
SES473,S1607,M35,Machine Learning,0,0,35,1
SES474,S3868,M16,Calculus,0,1,31,2
SES475,S1630,M174,Python,1,0,62,5
SES476,S4311,M127,Operating Systems,1,1,49,4
SES477,S4886,M155,Machine Learning,0,1,39,2
SES478,S1607,M135,Machine Learning,1,4,49,4
SES479,S3603,M73,Machine Learning,0,2,24,1
SES480,S1180,M188,Python,0,3,37,1
SES481,S3304,M139,Java,0,0,41,2
SES482,S2138,M141,Data Structures,0,2,41,2
SES483,S4239,M171,Statistics,1,1,58,5
SES484,S3895,M29,Database Systems,0,0,34,1
SES485,S1585,M160,Python,0,5,32,2
SES486,S1664,M189,Web Development,1,2,51,3
SES487,S1109,M34,Computer Networks,0,1,31,2
SES488,S2723,M35,Machine Learning,0,2,33,2
SES489,S1837,M27,Database Systems,0,2,33,2
SES490,S938,M20,Machine Learning,1,0,45,3
SES491,S3967,M186,Data Structures,0,2,29,1
SES492,S847,M195,Calculus,1,3,43,2
SES493,S3421,M186,Data Structures,0,3,28,1
SES494,S3908,M54,Computer Networks,0,2,23,1
SES495,S4225,M14,Web Development,0,1,35,1
SES496,S4056,M166,Python,1,2,63,5
SES497,S255,M109,Operating Systems,0,2,50,4
SES498,S1482,M90,Data Structures,1,4,64,5
SES499,S2078,M8,Python,0,1,33,1
SES500,S3695,M88,Web Development,0,3,44,2
SES501,S1109,M49,Java,1,1,50,4
SES502,S4410,M114,Data Structures,1,2,68,5
SES503,S2838,M169,Data Structures,0,2,46,2
SES504,S2836,M94,Operating Systems,0,3,34,2
SES505,S182,M135,Web Development,1,1,31,2
SES506,S2771,M46,Machine Learning,0,1,39,3
SES507,S1639,M27,Java,1,3,32,2
SES508,S1012,M46,Machine Learning,0,1,23,1
SES509,S1737,M1,Database Systems,1,1,28,1
SES510,S3821,M128,Machine Learning,0,1,47,3
SES511,S2969,M18,Data Structures,0,0,36,1
SES512,S3360,M94,Operating Systems,0,1,42,2
SES513,S1608,M174,Python,0,1,31,2
SES514,S2066,M197,Calculus,0,2,28,1
SES515,S3614,M28,Statistics,1,1,53,3
SES516,S1685,M194,Computer Networks,1,2,52,3
SES517,S4019,M1,Database Systems,0,0,32,1
SES518,S721,M94,Java,0,2,23,1
SES519,S2265,M189,Java,0,1,43,3
SES520,S1916,M41,Machine Learning,0,2,36,1
SES521,S3953,M42,Computer Networks,0,1,42,2
SES522,S973,M100,Operating Systems,0,2,51,4
SES523,S4219,M22,Web Development,1,1,51,4
SES524,S1430,M66,Machine Learning,1,3,47,4
SES525,S3315,M188,Python,1,3,47,3
SES526,S1508,M47,Computer Networks,1,0,59,5
SES527,S2597,M186,Data Structures,0,4,54,3
SES528,S2369,M9,Statistics,0,1,50,3
SES529,S2448,M68,Statistics,0,1,33,2
SES530,S1267,M151,Computer Networks,1,2,47,4
SES531,S485,M14,Statistics,0,1,49,3
SES532,S525,M41,Machine Learning,1,1,56,5
SES533,S2453,M157,Computer Networks,0,1,27,1
SES534,S3419,M183,Python,1,2,53,3
SES535,S4555,M16,Data Structures,0,2,34,2
SES536,S129,M7,Java,0,2,48,4
SES537,S97,M158,Database Systems,0,1,32,1
SES538,S955,M179,Data Structures,0,0,45,3
SES539,S1328,M43,Python,0,2,28,1
SES540,S2600,M196,Data Structures,1,2,45,3
SES541,S4021,M195,Calculus,0,0,32,1
SES542,S3590,M13,Calculus,1,1,39,2
SES543,S4751,M106,Statistics,0,2,52,4
SES544,S4266,M82,Computer Networks,0,0,35,2
SES545,S3202,M43,Python,1,2,65,5
SES546,S4346,M94,Computer Networks,0,3,35,2
SES547,S71,M131,Data Structures,0,1,25,1
SES548,S366,M28,Calculus,1,2,52,4
SES549,S482,M161,Web Development,0,2,64,5
SES550,S2258,M119,Python,0,0,53,3
SES551,S3869,M173,Computer Networks,1,1,46,3
SES552,S3114,M186,Data Structures,0,1,28,1
SES553,S2460,M37,Calculus,0,4,54,4
SES554,S3969,M25,Operating Systems,0,1,40,2
SES555,S166,M16,Data Structures,1,3,47,3
SES556,S1765,M39,Operating Systems,0,2,25,1
SES557,S964,M88,Calculus,0,1,29,1
SES558,S1546,M53,Operating Systems,0,1,53,3
SES559,S2041,M190,Python,0,2,29,1
SES560,S418,M20,Java,0,2,31,2
SES561,S3786,M103,Java,0,2,31,1
SES562,S3168,M70,Database Systems,0,0,61,4
SES563,S2823,M57,Python,0,1,29,1
SES564,S2596,M47,Data Structures,0,1,39,3
SES565,S752,M16,Data Structures,0,2,34,2
SES566,S4697,M23,Java,0,1,40,3
SES567,S1675,M188,Calculus,0,2,37,2
SES568,S1026,M23,Java,1,0,35,2
SES569,S2933,M156,Machine Learning,0,3,28,1
SES570,S4175,M44,Statistics,0,1,25,1
SES571,S3689,M143,Statistics,0,2,45,2
SES572,S3203,M41,Machine Learning,0,3,28,1
SES573,S2474,M166,Python,1,2,66,5
SES574,S316,M23,Data Structures,1,1,61,4
SES575,S3887,M189,Web Development,0,0,39,3
