student_id,name,learning_style,subjects_needed,subjects_strong,availability,semester,gpa
S40,Student_40,Read-Write,Python|Machine Learning,Web Development|Database Systems,Fri_Evening|Mon_Afternoon|Mon_Morning|Sat_Evening|Sat_Morning|Thu_Evening|Thu_Morning|Tue_Evening,8,3.27
S41,Student_41,Kinesthetic,Operating Systems|Machine Learning|Computer Networks,,Fri_Afternoon|Sat_Morning|Thu_Afternoon|Wed_Evening,5,2.68
S42,Student_42,Visual,Web Development|Python|Operating Systems,Statistics|Data Structures,Fri_Evening|Mon_Morning|Tue_Morning,3,2.88
S43,Student_43,Auditory,Computer Networks,,Fri_Evening|Mon_Afternoon|Sat_Afternoon|Thu_Afternoon|Thu_Morning|Tue_Afternoon|Tue_Evening|Wed_Evening,6,3.33
S44,Student_44,Auditory,Web Development|Data Structures|Computer Networks,Database Systems|Java,Mon_Afternoon|Mon_Evening|Mon_Morning|Sat_Afternoon|Tue_Morning|Wed_Afternoon,3,3.19
S45,Student_45,Kinesthetic,Python|Data Structures|Java,Calculus|Machine Learning,Fri_Morning|Mon_Afternoon|Mon_Evening|Sat_Morning|Thu_Evening|Tue_Afternoon|Tue_Morning|Wed_Morning,2,2.63
S46,Student_46,Auditory,Web Development|Computer Networks,,Mon_Morning|Sat_Afternoon|Tue_Evening,8,2.7
S47,Student_47,Auditory,Web Development,Java,Sat_Evening|Tue_Afternoon|Tue_Morning,7,2.7
S48,Student_48,Read-Write,Operating Systems|Web Development,,Fri_Morning|Mon_Evening|Mon_Morning|Thu_Afternoon|Thu_Evening|Thu_Morning|Tue_Afternoon|Wed_Afternoon,4,3.04
S49,Student_49,Kinesthetic,Calculus|Computer Networks|Database Systems,Data Structures|Machine Learning,Mon_Afternoon|Sat_Morning|Thu_Afternoon|Thu_Morning|Tue_Morning|Wed_Afternoon,1,3.97
S50,Student_50,Auditory,Web Development|Computer Networks,Java|Calculus,Mon_Evening|Mon_Morning|Sat_Afternoon|Sat_Evening|Tue_Afternoon|Tue_Morning,1,3.85
S51,Student_51,Kinesthetic,Java|Database Systems,Python|Calculus,Sat_Evening|Tue_Afternoon|Wed_Evening,2,2.62
S52,Student_52,Visual,Calculus|Web Development|Operating Systems,Python,Fri_Afternoon|Mon_Afternoon|Sat_Morning|Tue_Morning|Wed_Afternoon,7,2.23
S53,Student_53,Auditory,Statistics|Data Structures|Database Systems,Python|Java,Mon_Morning|Sat_Evening|Tue_Afternoon,3,2.99
S54,Student_54,Read-Write,Java|Statistics,Database Systems|Machine Learning,Mon_Morning|Tue_Evening|Tue_Morning|Wed_Evening,7,2.54
S55,Student_55,Kinesthetic,Database Systems,Machine Learning|Java,Fri_Afternoon|Mon_Afternoon|Mon_Evening|Sat_Morning|Thu_Evening|Thu_Morning|Tue_Evening,3,2.51
S56,Student_56,Visual,Statistics,Machine Learning|Calculus,Mon_Afternoon|Mon_Morning|Wed_Afternoon,8,2.73
S57,Student_57,Kinesthetic,Web Development,,Fri_Afternoon|Fri_Evening|Thu_Afternoon|Wed_Afternoon,6,2.54
S58,Student_58,Visual,Statistics,Machine Learning,Mon_Afternoon|Sat_Afternoon|Wed_Afternoon|Wed_Morning,2,3.75
S59,Student_59,Kinesthetic,Database Systems|Operating Systems,,Thu_Evening|Thu_Morning|Wed_Morning,5,3.48
S60,Student_60,Auditory,Python,Java,Fri_Evening|Mon_Morning|Sat_Evening|Tue_Afternoon|Tue_Morning|Wed_Afternoon|Wed_Evening|Wed_Morning,6,3.27
S61,Student_61,Read-Write,Data Structures|Operating Systems|Statistics,Database Systems|Python,Sat_Afternoon|Wed_Afternoon|Wed_Morning,7,2.98
S62,Student_62,Visual,Web Development,Operating Systems|Machine Learning,Fri_Afternoon|Sat_Afternoon|Thu_Evening|Wed_Afternoon,2,3.16
S63,Student_63,Kinesthetic,Web Development|Computer Networks|Machine Learning,Python|Data Structures,Fri_Afternoon|Fri_Morning|Sat_Evening|Thu_Morning|Tue_Afternoon|Tue_Evening|Wed_Afternoon|Wed_Morning,6,2.91
S64,Student_64,Auditory,Machine Learning,,Fri_Afternoon|Mon_Evening|Sat_Evening|Tue_Afternoon|Tue_Evening|Tue_Morning|Wed_Afternoon,7,2.24
S65,Student_65,Read-Write,Calculus|Python,Statistics,Mon_Evening|Thu_Morning|Tue_Evening,1,2.43
S66,Student_66,Kinesthetic,Web Development|Machine Learning,Operating Systems|Database Systems,Fri_Afternoon|Mon_Afternoon|Mon_Evening|Mon_Morning|Thu_Morning|Wed_Evening|Wed_Morning,8,3.11
S67,Student_67,Auditory,Calculus|Machine Learning|Python,,Mon_Afternoon|Mon_Morning|Wed_Afternoon,3,2.4
S68,Student_68,Visual,Operating Systems|Machine Learning,Computer Networks|Java,Fri_Evening|Mon_Evening|Wed_Morning,3,2.18
S69,Student_69,Auditory,Machine Learning|Data Structures,Web Development,Fri_Afternoon|Fri_Morning|Mon_Morning|Sat_Evening|Sat_Morning|Thu_Afternoon|Wed_Morning,3,2.71
S70,Student_70,Auditory,Database Systems,Java,Sat_Morning|Thu_Morning|Wed_Afternoon,7,3.77
S71,Student_71,Auditory,Data Structures|Machine Learning,Java,Fri_Morning|Sat_Afternoon|Thu_Afternoon|Wed_Afternoon|Wed_Evening|Wed_Morning,1,3.98
S72,Student_72,Read-Write,Operating Systems|Python|Java,Database Systems,Mon_Morning|Sat_Afternoon|Thu_Morning|Tue_Evening|Tue_Morning|Wed_Evening,1,3.79
S73,Student_73,Auditory,Data Structures|Python,Computer Networks|Java,Sat_Afternoon|Tue_Afternoon|Tue_Morning|Wed_Afternoon,1,3.53
S74,Student_74,Auditory,Statistics,Operating Systems,Fri_Evening|Thu_Afternoon|Thu_Evening|Wed_Afternoon,1,3.41
S75,Student_75,Kinesthetic,Statistics|Web Development,Database Systems|Python,Fri_Evening|Mon_Afternoon|Mon_Morning|Sat_Morning|Thu_Morning|Tue_Evening|Tue_Morning,4,2.04
S76,Student_76,Auditory,Data Structures|Operating Systems,Database Systems|Java,Mon_Afternoon|Mon_Evening|Mon_Morning|Thu_Afternoon|Tue_Evening,3,3.55
S77,Student_77,Visual,Operating Systems|Machine Learning|Statistics,Python|Database Systems,Mon_Evening|Thu_Afternoon|Thu_Evening|Thu_Morning|Tue_Afternoon,7,3.58
S78,Student_78,Auditory,Operating Systems|Web Development,Python|Machine Learning,Mon_Evening|Mon_Morning|Sat_Evening|Thu_Evening|Thu_Morning|Tue_Afternoon,7,3.7
S79,Student_79,Visual,Data Structures|Web Development|Operating Systems,Calculus|Java,Fri_Afternoon|Mon_Evening|Thu_Afternoon|Tue_Afternoon|Tue_Evening|Tue_Morning,3,3.27
S80,Student_80,Read-Write,Operating Systems,Data Structures,Mon_Evening|Thu_Evening|Tue_Afternoon|Wed_Afternoon,2,3.44
S81,Student_81,Auditory,Computer Networks,Python,Fri_Morning|Mon_Afternoon|Sat_Morning|Thu_Evening|Wed_Evening|Wed_Morning,8,3.58
S82,Student_82,Visual,Calculus|Web Development|Python,,Fri_Evening|Mon_Afternoon|Mon_Morning|Thu_Afternoon|Wed_Evening,6,2.34
S83,Student_83,Kinesthetic,Web Development|Machine Learning,Calculus|Database Systems,Fri_Afternoon|Mon_Afternoon|Mon_Evening|Mon_Morning|Sat_Evening|Thu_Morning|Tue_Evening|Wed_Morning,6,2.41
S84,Student_84,Read-Write,Computer Networks,Statistics|Database Systems,Mon_Afternoon|Thu_Morning|Tue_Morning|Wed_Afternoon|Wed_Morning,8,2.31
S85,Student_85,Read-Write,Data Structures|Computer Networks,,Mon_Evening|Mon_Morning|Sat_Evening|Sat_Morning|Thu_Afternoon|Tue_Afternoon|Tue_Morning|Wed_Morning,2,2.95
S86,Student_86,Kinesthetic,Database Systems,Java,Fri_Afternoon|Fri_Evening|Fri_Morning|Mon_Evening|Sat_Afternoon|Tue_Evening|Wed_Evening|Wed_Morning,8,2.09
S87,Student_87,Read-Write,Python|Database Systems,,Mon_Afternoon|Sat_Evening|Thu_Afternoon|Tue_Afternoon|Tue_Evening|Tue_Morning|Wed_Evening,7,3.94
S88,Student_88,Kinesthetic,Calculus|Java|Data Structures,Statistics,Mon_Afternoon|Sat_Evening|Sat_Morning|Thu_Evening|Tue_Afternoon|Wed_Afternoon|Wed_Morning,1,3.0
S89,Student_89,Auditory,Statistics|Web Development|Machine Learning,Calculus,Mon_Afternoon|Sat_Evening|Tue_Afternoon|Wed_Morning,2,3.98
S90,Student_90,Visual,Calculus|Web Development,Computer Networks|Database Systems,Fri_Morning|Sat_Evening|Thu_Afternoon,5,3.04
S91,Student_91,Visual,Statistics,Java|Computer Networks,Fri_Evening|Mon_Afternoon|Sat_Evening|Thu_Morning|Tue_Afternoon|Tue_Morning,2,3.57
S92,Student_92,Kinesthetic,Operating Systems|Computer Networks|Database Systems,Java,Mon_Afternoon|Mon_Evening|Sat_Morning|Thu_Morning|Tue_Afternoon|Tue_Evening|Wed_Morning,7,2.08
S93,Student_93,Read-Write,Calculus|Data Structures,Statistics|Database Systems,Sat_Afternoon|Thu_Afternoon|Thu_Morning,5,3.69
S94,Student_94,Kinesthetic,Machine Learning|Calculus|Web Development,Java,Fri_Afternoon|Mon_Evening|Tue_Morning|Wed_Afternoon|Wed_Evening,4,3.83
S95,Student_95,Auditory,Python|Java,Data Structures,Fri_Morning|Sat_Afternoon|Thu_Morning,3,3.56
S96,Student_96,Auditory,Statistics|Data Structures|Web Development,,Fri_Evening|Mon_Afternoon|Wed_Afternoon,1,3.84
S97,Student_97,Kinesthetic,Calculus|Database Systems|Operating Systems,Python,Fri_Afternoon|Mon_Evening|Mon_Morning|Sat_Morning|Thu_Morning|Tue_Evening|Tue_Morning|Wed_Afternoon,8,3.17
S98,Student_98,Read-Write,Operating Systems|Web Development,Machine Learning,Fri_Morning|Mon_Afternoon|Tue_Evening,4,3.71
S99,Student_99,Visual,Calculus|Statistics|Database Systems,Operating Systems|Computer Networks,Mon_Evening|Mon_Morning|Sat_Evening|Sat_Morning|Thu_Afternoon|Thu_Morning|Tue_Afternoon|Tue_Morning,5,3.22
S100,Student_100,Kinesthetic,Database Systems|Computer Networks,Python,Fri_Evening|Thu_Afternoon|Thu_Morning|Wed_Evening|Wed_Morning,7,3.17
S101,Student_101,Read-Write,Java,Operating Systems|Database Systems,Fri_Afternoon|Fri_Evening|Mon_Evening|Sat_Morning|Thu_Afternoon|Tue_Afternoon|Tue_Evening|Tue_Morning,5,3.31
S102,Student_102,Visual,Database Systems|Calculus|Web Development,Statistics|Machine Learning,Fri_Morning|Mon_Morning|Sat_Afternoon|Thu_Afternoon|Thu_Evening|Tue_Afternoon|Wed_Afternoon,5,2.52
S103,Student_103,Auditory,Computer Networks|Statistics,Data Structures|Database Systems,Sat_Morning|Thu_Evening|Tue_Afternoon|Wed_Afternoon|Wed_Evening,3,3.68
S104,Student_104,Read-Write,Web Development|Database Systems|Machine Learning,Calculus,Fri_Morning|Mon_Afternoon|Sat_Afternoon|Sat_Evening|Sat_Morning|Thu_Afternoon|Tue_Evening|Tue_Morning,5,2.84
S105,Student_105,Visual,Operating Systems|Database Systems,Computer Networks|Calculus,Fri_Evening|Mon_Afternoon|Mon_Evening|Sat_Morning|Tue_Morning|Wed_Evening,2,3.73
S106,Student_106,Auditory,Java|Database Systems,Data Structures,Fri_Afternoon|Thu_Afternoon|Thu_Morning|Wed_Morning,8,2.29
S107,Student_107,Auditory,Web Development|Machine Learning|Python,Java,Fri_Evening|Mon_Afternoon|Mon_Morning|Tue_Afternoon|Tue_Morning,3,3.15
S108,Student_108,Auditory,Python,,Fri_Afternoon|Fri_Evening|Fri_Morning|Mon_Morning|Sat_Evening|Wed_Afternoon|Wed_Morning,1,3.07
S109,Student_109,Visual,Operating Systems|Data Structures|Statistics,Web Development|Machine Learning,Mon_Afternoon|Mon_Evening|Sat_Evening|Thu_Evening|Tue_Afternoon|Wed_Afternoon|Wed_Evening|Wed_Morning,5,2.33
S110,Student_110,Read-Write,Database Systems,Java,Fri_Morning|Sat_Morning|Thu_Afternoon|Tue_Afternoon|Tue_Evening|Tue_Morning,3,3.9
S111,Student_111,Auditory,Data Structures|Calculus,,Mon_Afternoon|Mon_Morning|Sat_Afternoon|Tue_Evening,6,3.42
S112,Student_112,Visual,Computer Networks,Database Systems|Data Structures,Fri_Morning|Mon_Afternoon|Mon_Morning|Sat_Morning|Thu_Evening|Tue_Morning|Wed_Afternoon|Wed_Morning,2,3.09
S113,Student_113,Kinesthetic,Web Development|Calculus,Data Structures|Database Systems,Fri_Evening|Mon_Evening|Sat_Afternoon|Thu_Evening|Thu_Morning|Tue_Morning|Wed_Evening|Wed_Morning,2,3.02
S114,Student_114,Kinesthetic,Machine Learning|Database Systems|Statistics,,Sat_Evening|Tue_Evening|Wed_Evening|Wed_Morning,7,2.59
S115,Student_115,Kinesthetic,Java,Calculus,Mon_Afternoon|Mon_Morning|Sat_Afternoon|Thu_Afternoon|Wed_Afternoon,2,3.67
S116,Student_116,Visual,Python|Web Development|Machine Learning,Data Structures|Java,Fri_Evening|Sat_Evening|Thu_Morning|Tue_Afternoon|Wed_Afternoon,1,2.2
S117,Student_117,Read-Write,Data Structures,Computer Networks,Fri_Afternoon|Mon_Afternoon|Mon_Evening|Mon_Morning|Sat_Evening|Tue_Morning,3,2.66
S118,Student_118,Read-Write,Statistics|Database Systems,Machine Learning|Web Development,Fri_Morning|Sat_Afternoon|Tue_Morning|Wed_Afternoon,5,3.67
S119,Student_119,Auditory,Python|Computer Networks|Web Development,,Fri_Afternoon|Mon_Afternoon|Thu_Afternoon|Thu_Morning|Tue_Evening|Tue_Morning|Wed_Afternoon|Wed_Morning,8,2.36
S120,Student_120,Kinesthetic,Operating Systems|Data Structures,Calculus|Database Systems,Fri_Afternoon|Fri_Evening|Mon_Afternoon,2,2.52
S121,Student_121,Read-Write,Data Structures|Java,Database Systems|Computer Networks,Fri_Afternoon|Sat_Afternoon|Sat_Evening|Thu_Afternoon|Thu_Evening|Tue_Morning|Wed_Afternoon,6,3.33
S122,Student_122,Auditory,Computer Networks|Web Development|Data Structures,,Fri_Morning|Mon_Afternoon|Sat_Afternoon|Sat_Evening|Sat_Morning|Tue_Evening|Wed_Afternoon,4,2.66
S123,Student_123,Kinesthetic,Data Structures|Java,,Fri_Evening|Fri_Morning|Mon_Evening|Sat_Evening|Thu_Morning|Wed_Afternoon,8,2.18
S124,Student_124,Kinesthetic,Python|Operating Systems,,Fri_Afternoon|Fri_Morning|Mon_Morning|Sat_Evening|Sat_Morning|Tue_Morning|Wed_Evening|Wed_Morning,2,3.58
S125,Student_125,Read-Write,Database Systems|Java|Calculus,Python|Operating Systems,Fri_Evening|Mon_Afternoon|Tue_Evening|Wed_Afternoon|Wed_Evening,8,3.43
S126,Student_126,Auditory,Python|Machine Learning,,Thu_Afternoon|Thu_Evening|Thu_Morning,6,3.4
S127,Student_127,Kinesthetic,Web Development,Calculus,Sat_Afternoon|Wed_Evening|Wed_Morning,2,3.86
S128,Student_128,Read-Write,Calculus|Python,,Fri_Afternoon|Mon_Afternoon|Tue_Morning,8,2.91
S129,Student_129,Visual,Java|Web Development|Python,,Fri_Afternoon|Fri_Evening|Mon_Evening|Sat_Morning|Thu_Evening|Thu_Morning|Tue_Evening,3,2.21
S130,Student_130,Auditory,Statistics|Operating Systems|Computer Networks,Database Systems,Fri_Morning|Sat_Evening|Thu_Afternoon|Thu_Morning|Wed_Afternoon,3,2.28
S131,Student_131,Auditory,Java|Database Systems|Operating Systems,Python|Computer Networks,Fri_Evening|Thu_Evening|Thu_Morning|Wed_Morning,3,3.96
S132,Student_132,Kinesthetic,Web Development|Java|Operating Systems,Data Structures|Calculus,Fri_Afternoon|Fri_Morning|Mon_Afternoon|Mon_Morning|Sat_Evening|Thu_Morning|Wed_Evening,1,2.76
S133,Student_133,Read-Write,Data Structures,,Fri_Afternoon|Thu_Morning|Tue_Afternoon|Wed_Evening,1,3.38
S134,Student_134,Read-Write,Calculus|Java,,Fri_Morning|Sat_Evening|Sat_Morning|Tue_Morning|Wed_Afternoon|Wed_Evening,5,3.39
S135,Student_135,Read-Write,Computer Networks,Python,Fri_Morning|Mon_Afternoon|Mon_Morning|Thu_Morning|Tue_Morning|Wed_Afternoon|Wed_Evening,4,3.82
S136,Student_136,Kinesthetic,Operating Systems|Java|Calculus,Machine Learning|Web Development,Mon_Evening|Sat_Afternoon|Thu_Evening|Tue_Evening,2,2.75
S137,Student_137,Auditory,Database Systems|Java,Web Development,Mon_Evening|Mon_Morning|Sat_Afternoon|Thu_Afternoon|Thu_Evening|Wed_Afternoon|Wed_Evening,3,3.86
S138,Student_138,Visual,Data Structures|Database Systems|Python,Computer Networks|Calculus,Fri_Afternoon|Fri_Evening|Mon_Afternoon|Mon_Evening|Sat_Afternoon|Thu_Afternoon|Wed_Afternoon|Wed_Evening,7,3.09
S139,Student_139,Auditory,Machine Learning|Operating Systems,,Fri_Morning|Sat_Evening|Thu_Afternoon|Thu_Evening|Thu_Morning|Tue_Afternoon|Tue_Morning|Wed_Evening,8,3.99
S140,Student_140,Auditory,Data Structures|Machine Learning|Operating Systems,Calculus,Fri_Morning|Thu_Afternoon|Tue_Morning,7,2.51
S141,Student_141,Kinesthetic,Database Systems|Data Structures|Operating Systems,Statistics|Python,Mon_Afternoon|Sat_Evening|Thu_Morning|Tue_Evening|Wed_Evening|Wed_Morning,2,2.33
S142,Student_142,Auditory,Java|Data Structures|Machine Learning,,Fri_Afternoon|Fri_Morning|Sat_Evening|Sat_Morning|Thu_Evening|Tue_Morning|Wed_Evening|Wed_Morning,2,3.49
S143,Student_143,Visual,Data Structures,Computer Networks,Mon_Afternoon|Mon_Evening|Tue_Evening,5,3.12
S144,Student_144,Kinesthetic,Calculus|Database Systems|Computer Networks,Operating Systems,Fri_Morning|Mon_Afternoon|Mon_Morning|Sat_Evening|Thu_Afternoon|Wed_Evening,1,3.28
S145,Student_145,Visual,Machine Learning|Data Structures|Statistics,Computer Networks,Fri_Morning|Mon_Evening|Sat_Evening|Thu_Morning|Wed_Afternoon,7,2.79
S146,Student_146,Kinesthetic,Data Structures|Python|Web Development,Calculus|Statistics,Fri_Evening|Fri_Morning|Sat_Evening|Thu_Afternoon|Thu_Evening|Thu_Morning|Tue_Afternoon,6,3.91
S147,Student_147,Visual,Java,Web Development|Machine Learning,Fri_Morning|Mon_Evening|Thu_Morning,4,3.5
S148,Student_148,Auditory,Operating Systems|Calculus|Computer Networks,Statistics|Python,Tue_Evening|Tue_Morning|Wed_Afternoon|Wed_Evening,2,2.36
S149,Student_149,Read-Write,Data Structures|Java|Python,Operating Systems|Machine Learning,Mon_Evening|Sat_Morning|Thu_Evening|Thu_Morning|Tue_Evening|Tue_Morning|Wed_Afternoon|Wed_Evening,6,2.26
S150,Student_150,Read-Write,Calculus|Machine Learning|Database Systems,Data Structures|Web Development,Fri_Evening|Mon_Evening|Sat_Morning|Thu_Afternoon|Thu_Evening|Thu_Morning,6,3.62
S151,Student_151,Auditory,Web Development|Data Structures,Operating Systems,Fri_Afternoon|Mon_Evening|Sat_Morning|Thu_Afternoon|Thu_Evening|Tue_Evening|Wed_Afternoon|Wed_Evening,8,2.89
S152,Student_152,Auditory,Python|Java,,Fri_Evening|Mon_Evening|Sat_Afternoon|Sat_Morning|Thu_Afternoon|Tue_Afternoon|Tue_Morning|Wed_Evening,2,3.45
S153,Student_153,Auditory,Java,Data Structures|Computer Networks,Sat_Evening|Sat_Morning|Wed_Evening,3,2.73
S154,Student_154,Kinesthetic,Statistics,Database Systems|Web Development,Fri_Morning|Mon_Evening|Mon_Morning|Sat_Afternoon|Thu_Afternoon|Tue_Evening|Wed_Evening,4,3.7
S155,Student_155,Auditory,Web Development|Java|Statistics,Machine Learning,Fri_Morning|Mon_Morning|Sat_Morning|Thu_Evening|Tue_Afternoon|Tue_Morning|Wed_Afternoon,4,2.13
S156,Student_156,Read-Write,Calculus|Data Structures,Operating Systems|Computer Networks,Fri_Evening|Mon_Afternoon|Mon_Morning|Sat_Morning|Thu_Afternoon|Tue_Evening,2,3.41
S157,Student_157,Kinesthetic,Database Systems|Statistics|Web Development,Python,Mon_Evening|Sat_Afternoon|Tue_Morning|Wed_Evening|Wed_Morning,7,2.71
S158,Student_158,Auditory,Python|Statistics,Data Structures|Database Systems,Mon_Evening|Thu_Afternoon|Tue_Afternoon|Tue_Evening|Wed_Afternoon|Wed_Evening,4,2.3
S159,Student_159,Kinesthetic,Operating Systems,Machine Learning|Calculus,Sat_Afternoon|Sat_Evening|Sat_Morning|Tue_Morning|Wed_Afternoon,3,3.29
S160,Student_160,Auditory,Data Structures|Calculus,,Fri_Evening|Mon_Afternoon|Mon_Evening|Mon_Morning|Thu_Morning|Tue_Afternoon|Tue_Evening,3,2.52
